name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,average_precision,0.14397905759162305,0.7
2_DecisionTree,Decision Tree,average_precision,0.41323763753328735,10.82
3_Linear,Linear,average_precision,0.36479904724747986,3.76
4_Default_Xgboost,Xgboost,average_precision,0.5773539863115661,5.39
5_Default_NeuralNetwork,Neural Network,average_precision,0.41983388682336165,1.94
6_Default_RandomForest,Random Forest,average_precision,0.6005606266015439,8.18
Ensemble,Ensemble,average_precision,0.6005606266015439,0.36
