Learner 1,counter
0.0316643353677798,0
0.0145083609926736,0
0.0128411559319193,0
0.00847770995141,0
0.0083746558870035,0
0.0077044301574,0
0.0055893626600938,0
0.0051902432006631,0
0.0048990762376771,0
0.004545200633541,0
0.0041339611772502,0
0.0038233217299091,0
0.0033547192458702,0
0.0032697987371556,0
0.0025508808423633,0
0.0024582160575855,0
0.0022187093604187,0
0.0020753536120064,0
0.0019364728605493,0
0.0017259648918627,0
0.0017201077429761,0
0.0017179555309032,0
0.0011567591830976,0
0.0011355966952307,0
0.0008245533585456,0
0.0008013112784069,0
0.0006333518824484,0
0.0005553428855948,0
0.0004864640053307,0
0.0003678714215407,0
0.0003461866833888,0
0.0002576265437963,0
0.0002530599162313,0
0.0002388126748119,0
0.0002354241430368,0
0.0002307154661037,0
0.0002189536890359,0
0.000193963544331,0
0.0001920973201284,0
0.0001768158982895,0
0.0001745550353723,0
0.0001214479657287,0
7.590471375744645e-05,0
5.892128755182746e-05,0
5.4770000045367694e-05,0
4.9248279690539135e-05,0
2.1554351709274223e-05,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-9.916809933274704e-06,1
-2.1056889093673534e-05,1
-4.4540908695978046e-05,1
-5.165934237423286e-05,1
-5.649953382929063e-05,1
-8.763194854416456e-05,1
-0.000130349415618,1
-0.0001492193951199,1
-0.00020923648444,1
-0.0005740417958731,1
-0.0005774573865088,1
-0.0005805558956227,1
-0.000582474438772,1
-0.0006117456672125,1
-0.0007186368676732,1
-0.0008026704086309,1
-0.000920535336504,1
-0.001335141447921,1
-0.0018673129444661,1
